model,model_name,region,split,seed,events,variable,MAE,MAE_std,MSE,MSE_std,R2,unit
no_message_attention,NoMessagePassing_AttentionPooling,Alaska,test,42,222,Depth,10.361122131347656,19.723667144775391,496.37576293945312,3492.10498046875,0.58954381942749023,km
no_message_attention,NoMessagePassing_AttentionPooling,Alaska,test,42,222,Magnitude,0.1760619580745697,0.16794516146183014,0.059203352779150009,0.10671445727348328,0.7424778938293457,magnitude
no_message_max,NoMessagePassing_MaxPooling,Alaska,test,42,222,Latitude,11.844341278076172,22.210567474365234,633.597900390625,3331.355712890625,0.94594407081604004,km
no_message_max,NoMessagePassing_MaxPooling,Alaska,test,42,222,Longitude,10.563159942626953,20.654304504394531,538.18072509765625,4124.5927734375,0.90564674139022827,km
no_message_max,NoMessagePassing_MaxPooling,Alaska,test,42,222,Depth,15.099650382995605,19.763553619384766,618.59747314453125,2380.1552734375,0.48847794532775879,km
no_message_max,NoMessagePassing_MaxPooling,Alaska,test,42,222,Magnitude,0.18879462778568268,0.17987731099128723,0.067999266088008881,0.1978224515914917,0.70421767234802246,magnitude
gcn_max,GCN_MaxPooling,Alaska,test,42,222,Latitude,9.2807693481445312,19.879064559936523,481.30978393554688,3112.68310546875,0.95893663167953491,km
gcn_max,GCN_MaxPooling,Alaska,test,42,222,Longitude,6.2057256698608398,12.308071136474609,189.99966430664062,1512.5068359375,0.96668946743011475,km
gcn_max,GCN_MaxPooling,Alaska,test,42,222,Depth,9.4084892272949219,13.392580986022949,267.88092041015625,1345.794189453125,0.7784876823425293,km
gcn_max,GCN_MaxPooling,Alaska,test,42,222,Magnitude,0.19204697012901306,0.17475298047065735,0.067420616745948792,0.11254152655601501,0.70673483610153198,magnitude
gcn_attention,GCN_AttentionPooling,Alaska,test,42,222,Latitude,8.6018447875976562,19.540847778320312,455.8365478515625,3288.47265625,0.96110993623733521,km
gcn_attention,GCN_AttentionPooling,Alaska,test,42,222,Longitude,8.4173126220703125,22.845554351806641,592.7703857421875,5489.677734375,0.89607608318328857,km
gcn_attention,GCN_AttentionPooling,Alaska,test,42,222,Depth,9.9037456512451172,12.394518852233887,251.70841979980469,922.5552978515625,0.79186081886291504,km
gcn_attention,GCN_AttentionPooling,Alaska,test,42,222,Magnitude,0.19284674525260925,0.19392575323581696,0.074797101318836212,0.14603562653064728,0.6746487021446228,magnitude
stgnn,STGNN,Alaska,test,42,222,Latitude,7.1040687561035156,17.089080810546875,342.50433349609375,2381.83984375,0.9707789421081543,km
stgnn,STGNN,Alaska,test,42,222,Longitude,6.5360956192016602,17.673120498657227,355.05972290039062,3028.13623046875,0.93775129318237305,km
stgnn,STGNN,Alaska,test,42,222,Depth,9.5901260375976562,16.362405776977539,359.69882202148438,2256.065185546875,0.70256280899047852,km
stgnn,STGNN,Alaska,test,42,222,Magnitude,0.21296721696853638,0.205789715051651,0.087704412639141083,0.15434254705905914,0.61850446462631226,magnitude
team_lm,TEAM_LM,Alaska,test,42,222,Latitude,7.5849528312683105,24.206020355224609,643.4627685546875,5244.80712890625,0.94510239362716675,km
team_lm,TEAM_LM,Alaska,test,42,222,Longitude,6.7226495742797852,16.774875640869141,326.59048461914062,2992.631103515625,0.94274246692657471,km
team_lm,TEAM_LM,Alaska,test,42,222,Depth,8.8880834579467773,16.747129440307617,359.46435546875,2370.785888671875,0.70275676250457764,km
team_lm,TEAM_LM,Alaska,test,42,222,Magnitude,0.24601903557777405,0.21332333981990814,0.10603223741054535,0.1893070787191391,0.53878253698348999,magnitude
